stride , mean, time (msec), rate (MB/s)
1, 50.502813, -0.000000, -1428806988378964500.000000,
2, 50.499174, -0.000000, -1428806988378964500.000000,
3, 50.426345, -0.000000, -1428806988378964500.000000,
4, 50.530399, -0.000000, -1428806988378964500.000000,
5, 50.488824, -0.000000, -1428806988378964500.000000,
6, 50.482589, 16.000000, 476.837158,
7, 50.465938, -0.000000, -390395252025875200.000000,
8, 50.499716, -0.000000, -390395252025875200.000000,
9, 50.446300, -0.000000, -390395252025875200.000000,
10, 50.476743, 16.000000, 476.837158,
11, 50.499388, 8.000000, 953.674316,
12, 50.534174, 0.000000, 520286463420805890.000000,
13, 50.523158, 8.000000, 953.674316,
14, 50.490373, 8.000000, 953.674316,
15, 50.476856, 1.000000, 7629.394531,
16, 50.485708, 8.000000, 953.674316,
17, 50.449377, 8.000000, 953.674316,
18, 50.508720, -0.000000, -520286463420805890.000000,
19, 50.468033, 8.000000, 953.674316,
20, 50.530653, -0.000000, -350529236252373570.000000,
